RDR received, heartbeat, in, 4150, us
RDR received, groundMovers, in, 829, us
RDR received, pnt, in, 656, us
RDR received, groundMovers, in, 809, us
RDR received, groundMovers, in, 862, us
RDR received, pnt, in, 844, us
RDR received, groundMovers, in, 823, us
RDR received, groundMovers, in, 792, us
RDR received, pnt, in, 641, us
RDR received, groundMovers, in, 791, us
RDR received, groundMovers, in, 764, us
RDR received, pnt, in, 620, us
RDR received, groundMovers, in, 975, us
RDR received, groundMovers, in, 801, us
RDR received, pnt, in, 583, us
RDR received, groundMovers, in, 701, us
RDR received, groundMovers, in, 680, us
RDR received, pnt, in, 567, us
RDR received, groundMovers, in, 806, us
RDR received, groundMovers, in, 744, us
RDR received, pnt, in, 637, us
RDR received, groundMovers, in, 719, us
RDR received, groundMovers, in, 754, us
RDR received, pnt, in, 616, us
RDR received, groundMovers, in, 699, us
RDR received, groundMovers, in, 718, us
RDR received, pnt, in, 597, us
RDR received, groundMovers, in, 553, us
RDR received, groundMovers, in, 754, us
RDR received, pnt, in, 548, us
RDR received, groundMovers, in, 915, us
RDR received, groundMovers, in, 843, us
RDR received, pnt, in, 704, us
RDR received, groundMovers, in, 704, us
RDR received, groundMovers, in, 665, us
RDR received, pnt, in, 613, us
RDR received, groundMovers, in, 787, us
RDR received, groundMovers, in, 765, us
RDR received, pnt, in, 602, us
RDR received, groundMovers, in, 703, us
RDR received, groundMovers, in, 740, us
RDR received, pnt, in, 587, us
RDR received, groundMovers, in, 684, us
RDR received, groundMovers, in, 674, us
RDR received, pnt, in, 510, us
RDR received, groundMovers, in, 792, us
RDR received, groundMovers, in, 733, us
RDR received, pnt, in, 569, us
RDR received, groundMovers, in, 796, us
RDR received, groundMovers, in, 722, us
RDR received, pnt, in, 557, us
RDR received, groundMovers, in, 747, us
RDR received, groundMovers, in, 655, us
RDR received, pnt, in, 634, us
RDR received, groundMovers, in, 705, us
RDR received, groundMovers, in, 787, us
RDR received, pnt, in, 581, us
RDR received, groundMovers, in, 734, us
RDR received, groundMovers, in, 714, us
RDR received, pnt, in, 606, us
RDR received, groundMovers, in, 818, us
RDR received, groundMovers, in, 641, us
RDR received, pnt, in, 557, us
RDR received, groundMovers, in, 727, us
RDR received, groundMovers, in, 721, us
RDR received, pnt, in, 509, us
RDR received, groundMovers, in, 711, us
RDR received, groundMovers, in, 723, us
RDR received, pnt, in, 588, us
RDR received, groundMovers, in, 724, us
RDR received, groundMovers, in, 679, us
RDR received, pnt, in, 569, us
RDR received, groundMovers, in, 757, us
RDR received, groundMovers, in, 749, us
RDR received, pnt, in, 580, us
RDR received, groundMovers, in, 721, us
RDR received, groundMovers, in, 735, us
RDR received, pnt, in, 499, us
RDR received, groundMovers, in, 833, us
RDR received, groundMovers, in, 724, us
RDR received, pnt, in, 540, us
RDR received, groundMovers, in, 637, us
RDR received, groundMovers, in, 707, us
RDR received, pnt, in, 531, us
RDR received, groundMovers, in, 700, us
RDR received, groundMovers, in, 742, us
RDR received, pnt, in, 601, us
RDR received, groundMovers, in, 625, us
RDR received, pnt, in, 737, us
RDR received, groundMovers, in, 704, us
RDR received, groundMovers, in, 781, us
RDR received, pnt, in, 626, us
RDR received, groundMovers, in, 776, us
RDR received, groundMovers, in, 806, us
RDR received, pnt, in, 636, us
RDR received, groundMovers, in, 780, us
RDR received, groundMovers, in, 775, us
RDR received, pnt, in, 681, us
RDR received, groundMovers, in, 662, us
RDR received, groundMovers, in, 699, us
RDR received, pnt, in, 532, us
RDR received, groundMovers, in, 723, us
RDR received, groundMovers, in, 702, us
RDR received, pnt, in, 587, us
RDR received, groundMovers, in, 727, us
RDR received, groundMovers, in, 870, us
RDR received, pnt, in, 563, us
RDR received, groundMovers, in, 606, us
RDR received, groundMovers, in, 581, us
RDR received, pnt, in, 632, us
RDR received, groundMovers, in, 628, us
RDR received, groundMovers, in, 578, us
RDR received, pnt, in, 609, us
RDR received, groundMovers, in, 573, us
RDR received, groundMovers, in, 510, us
RDR received, pnt, in, 663, us
RDR received, groundMovers, in, 599, us
RDR received, groundMovers, in, 556, us
RDR received, pnt, in, 577, us
RDR received, groundMovers, in, 590, us
RDR received, groundMovers, in, 606, us
RDR received, pnt, in, 594, us
RDR received, groundMovers, in, 551, us
RDR received, groundMovers, in, 714, us
RDR received, pnt, in, 718, us
RDR received, groundMovers, in, 782, us
RDR received, groundMovers, in, 686, us
RDR received, pnt, in, 612, us
RDR received, groundMovers, in, 748, us
RDR received, groundMovers, in, 767, us
RDR received, pnt, in, 553, us
RDR received, groundMovers, in, 774, us
RDR received, groundMovers, in, 717, us
RDR received, pnt, in, 576, us
RDR received, groundMovers, in, 744, us
RDR received, groundMovers, in, 725, us
RDR received, pnt, in, 599, us
RDR received, groundMovers, in, 723, us
RDR received, groundMovers, in, 665, us
RDR received, pnt, in, 596, us
RDR received, groundMovers, in, 644, us
RDR received, groundMovers, in, 660, us
RDR received, pnt, in, 601, us
RDR received, groundMovers, in, 635, us
RDR received, groundMovers, in, 568, us
RDR received, pnt, in, 593, us
RDR received, groundMovers, in, 613, us
RDR received, groundMovers, in, 547, us
RDR received, pnt, in, 522, us
RDR received, groundMovers, in, 596, us
RDR received, groundMovers, in, 561, us
RDR received, pnt, in, 588, us
RDR received, groundMovers, in, 598, us
RDR received, groundMovers, in, 560, us
RDR received, pnt, in, 574, us
RDR received, groundMovers, in, 643, us
RDR received, groundMovers, in, 577, us
RDR received, pnt, in, 557, us
RDR received, groundMovers, in, 631, us
RDR received, groundMovers, in, 553, us
RDR received, pnt, in, 512, us
RDR received, groundMovers, in, 592, us
RDR received, groundMovers, in, 610, us
RDR received, pnt, in, 541, us
RDR received, groundMovers, in, 599, us
RDR received, groundMovers, in, 577, us
RDR received, pnt, in, 566, us
RDR received, groundMovers, in, 592, us
RDR received, groundMovers, in, 576, us
RDR received, pnt, in, 543, us
RDR received, groundMovers, in, 594, us
RDR received, groundMovers, in, 502, us
RDR received, pnt, in, 543, us
RDR received, groundMovers, in, 596, us
RDR received, pnt, in, 566, us
RDR received, groundMovers, in, 500, us
RDR received, groundMovers, in, 687, us
RDR received, pnt, in, 523, us
RDR received, groundMovers, in, 728, us
RDR received, groundMovers, in, 746, us
RDR received, pnt, in, 637, us
RDR received, groundMovers, in, 711, us
RDR received, groundMovers, in, 662, us
RDR received, pnt, in, 633, us
RDR received, groundMovers, in, 712, us
RDR received, groundMovers, in, 768, us
RDR received, pnt, in, 642, us
RDR received, groundMovers, in, 705, us
RDR received, groundMovers, in, 667, us
RDR received, pnt, in, 602, us
RDR received, groundMovers, in, 656, us
RDR received, groundMovers, in, 716, us
RDR received, pnt, in, 578, us
RDR received, groundMovers, in, 682, us
RDR received, groundMovers, in, 715, us
RDR received, pnt, in, 492, us
RDR received, groundMovers, in, 690, us
RDR received, groundMovers, in, 739, us
RDR received, pnt, in, 545, us
RDR received, groundMovers, in, 734, us
RDR received, groundMovers, in, 732, us
RDR received, pnt, in, 573, us
RDR received, groundMovers, in, 694, us
RDR received, groundMovers, in, 724, us
RDR received, pnt, in, 606, us
RDR received, groundMovers, in, 688, us
RDR received, groundMovers, in, 729, us
RDR received, pnt, in, 599, us
RDR received, groundMovers, in, 681, us
RDR received, groundMovers, in, 661, us
RDR received, pnt, in, 581, us
RDR received, groundMovers, in, 569, us
RDR received, groundMovers, in, 739, us
RDR received, pnt, in, 560, us
RDR received, groundMovers, in, 647, us
RDR received, groundMovers, in, 693, us
RDR received, pnt, in, 557, us
RDR received, groundMovers, in, 661, us
RDR received, groundMovers, in, 737, us
RDR received, pnt, in, 537, us
RDR received, groundMovers, in, 698, us
RDR received, groundMovers, in, 731, us
RDR received, pnt, in, 673, us
RDR received, groundMovers, in, 690, us
RDR received, groundMovers, in, 673, us
RDR received, pnt, in, 536, us
RDR received, requestRDRDetections, in, 656, us
RDR received, groundMovers, in, 690, us
RDR received, groundMovers, in, 764, us
RDR received, pnt, in, 706, us
RDR received, groundMovers, in, 710, us
RDR received, groundMovers, in, 735, us
RDR received, pnt, in, 730, us
RDR received, groundMovers, in, 700, us
RDR received, groundMovers, in, 750, us
RDR received, pnt, in, 550, us
RDR received, groundMovers, in, 706, us
RDR received, groundMovers, in, 808, us
RDR received, pnt, in, 687, us
RDR received, groundMovers, in, 643, us
RDR received, groundMovers, in, 722, us
RDR received, pnt, in, 592, us
RDR received, groundMovers, in, 551, us
RDR received, groundMovers, in, 730, us
RDR received, pnt, in, 532, us
RDR received, groundMovers, in, 531, us
RDR received, groundMovers, in, 635, us
RDR received, pnt, in, 563, us
RDR received, groundMovers, in, 652, us
RDR received, groundMovers, in, 703, us
RDR received, pnt, in, 585, us
RDR received, groundMovers, in, 696, us
RDR received, groundMovers, in, 692, us
